id,title,description,category,location,area_of_operation,target_beneficiaries,status,images_base64,assigned_to,created_at,updated_at
"proj-001","Community Health Awareness Program","A comprehensive health awareness program focusing on preventive healthcare, nutrition education, and basic medical check-ups for underprivileged communities.","social","East Godavari District","Rural villages in East Godavari","500+ families in 10 villages","ongoing","[]","32345678-1234-1234-1234-123456789abc","2024-01-15T10:00:00Z","2024-01-15T10:00:00Z"
"proj-002","Women's Entrepreneurship Development","Empowering women through skill development, micro-finance training, and business mentorship to create sustainable income opportunities.","economic","West Godavari District","Urban and semi-urban areas","200+ women entrepreneurs","ongoing","[]","72345678-1234-1234-1234-123456789abc","2024-01-16T10:00:00Z","2024-01-16T10:00:00Z"
"proj-003","Digital Literacy for Youth","Teaching computer skills, internet usage, and digital tools to young people to improve their employment prospects and educational opportunities.","educational","East Godavari District","Community centers and schools","300+ youth aged 15-25","ongoing","[]","32345678-1234-1234-1234-123456789abc","2024-01-17T10:00:00Z","2024-01-17T10:00:00Z"
"proj-004","Senior Citizens Care Program","Providing healthcare support, social activities, and assistance to elderly community members to improve their quality of life.","social","East Godavari District","Multiple villages","150+ senior citizens","completed","[]","32345678-1234-1234-1234-123456789abc","2024-01-10T10:00:00Z","2024-01-20T10:00:00Z"
"proj-005","Agricultural Training Initiative","Training farmers in modern agricultural techniques, sustainable farming practices, and crop diversification to improve yields and income.","economic","West Godavari District","Farming communities","100+ farmers","ongoing","[]","72345678-1234-1234-1234-123456789abc","2024-01-18T10:00:00Z","2024-01-18T10:00:00Z"
"proj-006","Children's Education Support","Providing educational materials, tutoring, and after-school programs to support children's learning and academic success.","educational","East Godavari District","Local schools and community centers","400+ children aged 6-14","ongoing","[]","32345678-1234-1234-1234-123456789abc","2024-01-19T10:00:00Z","2024-01-19T10:00:00Z"
"proj-007","Disaster Relief and Recovery","Emergency response and long-term recovery support for communities affected by natural disasters and emergencies.","social","Multiple Districts","Affected areas across Andhra Pradesh","1000+ families","completed","[]","22345678-1234-1234-1234-123456789abc","2023-12-01T10:00:00Z","2024-01-05T10:00:00Z"
"proj-008","Vocational Skills Training","Training programs in various trades like carpentry, electrical work, plumbing, and tailoring to create employment opportunities.","economic","West Godavari District","Technical training centers","250+ unemployed youth","upcoming","[]","72345678-1234-1234-1234-123456789abc","2024-01-25T10:00:00Z","2024-01-25T10:00:00Z"
"proj-009","Mental Health Awareness","Raising awareness about mental health issues, providing counseling services, and reducing stigma in the community.","social","East Godavari District","Community centers and schools","500+ community members","ongoing","[]","32345678-1234-1234-1234-123456789abc","2024-01-20T10:00:00Z","2024-01-20T10:00:00Z"
"proj-010","Scholarship Program","Providing financial assistance for higher education to deserving students from economically disadvantaged backgrounds.","educational","Multiple Districts","Colleges and universities","50+ students","ongoing","[]","22345678-1234-1234-1234-123456789abc","2024-01-21T10:00:00Z","2024-01-21T10:00:00Z"

